Source,Target,Value
Pamela Jiles,Evelyn Matthei,14
Pamela Jiles,Joaquín Lavín,13
Pamela Jiles,Daniel Jadue,13
Pamela Jiles,Heraldo Muñoz,4
Pamela Jiles,Mario Desbordes,4
Pamela Jiles,José Antonio Kast,3
Pamela Jiles,Ximena Rincón,3
Pamela Jiles,Gabriel Boric,3
Pamela Jiles,Pablo Vidal,3
Pamela Jiles,Paula Narváez,2
Pamela Jiles,Sebastián Sichel,2
Pamela Jiles,Ignacio Briones,1
Pamela Jiles,Carlos Maldonado,1
Pamela Jiles,Otro,4
Pamela Jiles,Indeciso,30
Evelyn Matthei,Derecha,14
Joaquín Lavín,Derecha,13
Daniel Jadue,Izquierda,13
Heraldo Muñoz,Izquierda,4
Mario Desbordes,Derecha,4
José Antonio Kast,Derecha,3
Ximena Rincón,Izquierda,3
Gabriel Boric,Izquierda,3
Pablo Vidal,Izquierda,3
Paula Narváez,Izquierda,2
Sebastián Sichel,Derecha,2
Ignacio Briones,Derecha,1
Carlos Maldonado,Izquierda,1